group,rank,team,slug,club,club_slug,region,team_depth,team_depth_label,cpi,movement,games_tracked,latest_tournament,latest_record,ranking_flags,manual_review_note,issue_types,recommended_action,same_group_possible_duplicate_matches,same_club_other_teams_in_group,quiksilver_old_rank,quiksilver_new_rank,quiksilver_weight,logo,team_page,club_page,manual_decision,approved_canonical_team,approved_canonical_club,notes
12U Boys,58,San Clemente Red,san-clemente-red-12u-boys,San Clemente,san-clemente,Orange County,2,secondary/B-level,1577.4,0,12,SOPAC JO Qualifier,2-2,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,San Clemente #9 (san-clemente-12u-boys),San Clemente #9 depth=1,,,,assets/logos/canonical/san-clemente.webp,team.html?team=san-clemente-red-12u-boys,club.html?club=san-clemente,,,,
12U Boys,59,Palos Verdes,palos-verdes,PV WPC,pv-wpc,Los Angeles,1,primary/A-level,1573.8,0,16,K7 Cup,3-1,coed_only_review,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/pv-wpc.webp,team.html?team=palos-verdes,club.html?club=pv-wpc,,,,
12U Boys,60,NorCal,norcal,NorCal,norcal,Peninsula / San Francisco,1,primary/A-level,1573.0,0,17,Futures Super Finals,2-2,manual_review_same_team_alias_merge,Merged NorCal and NorCal as the same primary 12U Boys team.,manual_review_note_present,,,,,,,assets/logos/canonical/norcal.webp,team.html?team=norcal,club.html?club=norcal,,,,
12U Boys,61,SHAQ White,shaq-white,SHAQ,shaq,Peninsula / San Francisco,1,primary/A-level,1562.6,0,6,Pacific Zone JO Qualifier,3-3,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group|team_name_suggests_b_but_depth_primary,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SHAQ Blue #45 (shaq-blue),SHAQ Blue #45 depth=1,,,,assets/logos/canonical/shaq.webp,team.html?team=shaq-white,club.html?club=shaq,,,,
12U Boys,62,Laguna Beach,laguna-beach,Laguna Beach,laguna-beach,Orange County,1,primary/A-level,1559.2,0,15,SOPAC JO Qualifier,3-2,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/laguna-beach.webp,team.html?team=laguna-beach,club.html?club=laguna-beach,,,,
12U Boys,63,PAC,pac,Pasadena AC,pasadena-ac,Los Angeles,1,primary/A-level,1557.4,0,5,CCA JO Qualifier,2-3,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/pasadena-ac.webp,team.html?team=pac,club.html?club=pasadena-ac,,,,
12U Boys,64,SD Dons Gold,sd-dons-gold,SD Dons,sd-dons,San Diego,1,primary/A-level,1555.3,0,10,San Diego County Cup,3-3,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SD Dons A #3 (sd-dons-a-12u-boys); SD Dons B #37 (sd-dons-b-12u-boys); SD Dons Black #57 (sd-dons-black),SD Dons A #3 depth=1; SD Dons B #37 depth=2; SD Dons Black #57 depth=1,,,,assets/logos/canonical/sd-dons.webp,team.html?team=sd-dons-gold,club.html?club=sd-dons,,,,
12U Boys,65,CIU Black,ciu-black,CIU,ciu,Central Coast,1,primary/A-level,1554.1,0,5,CCA JO Qualifier,2-3,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,CIU Gold #76 (ciu-gold),CIU Gold #76 depth=1,,,,assets/logos/canonical/ciu.webp,team.html?team=ciu-black,club.html?club=ciu,,,,
12U Boys,66,Los Alamitos Opal,los-alamitos-opal,Los Alamitos,los-alamitos,Orange County,1,primary/A-level,1550.3,0,5,San Diego County Cup,2-3,,,same_club_depth_collision|same_club_multiple_teams_in_group,Confirm A/B/C/color team hierarchy and canonical naming.,,Los Alamitos #17 depth=1,,,,assets/logos/canonical/los-alamitos.webp,team.html?team=los-alamitos-opal,club.html?club=los-alamitos,,,,
12U Boys,67,Lawpc,lawpc,LAWPC,lawpc,Los Angeles,1,primary/A-level,1549.9,0,9,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/lawpc.webp,team.html?team=lawpc,club.html?club=lawpc,,,,
12U Boys,68,Trojan,trojan,Trojan,trojan,Los Angeles,1,primary/A-level,1546.4,0,12,Futures Super Finals,1-3,,,same_club_depth_collision|same_club_multiple_teams_in_group,Confirm A/B/C/color team hierarchy and canonical naming.,,Trojan Cardinal #24 depth=1,,,,assets/logos/canonical/trojan.webp,team.html?team=trojan,club.html?club=trojan,,,,
12U Boys,69,Santa Barbara,santa-barbara,Santa Barbara,santa-barbara,Central Coast,1,primary/A-level,1543.1,0,25,Futures Super Finals,0-5,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/santa-barbara.webp,team.html?team=santa-barbara,club.html?club=santa-barbara,,,,
12U Boys,70,Diablo Alliance A,diablo-alliance-a-12u-boys,Diablo Alliance,diablo-alliance,East Bay,1,primary/A-level,1530.1,0,6,Pacific Zone JO Qualifier,2-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/diablo-alliance.webp,team.html?team=diablo-alliance-a-12u-boys,club.html?club=diablo-alliance,,,,
12U Boys,71,Stanford Black,stanford-black,Stanford,stanford,Peninsula / San Francisco,2,secondary/B-level,1528.0,0,19,Pacific Zone JO Qualifier,4-3,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Stanford Red #2 (stanford-red),Stanford Red #2 depth=1,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-black,club.html?club=stanford,,,,
12U Boys,72,680 Blue,680-blue,680,680,East Bay,2,secondary/B-level,1526.6,0,16,Pacific Zone JO Qualifier,4-3,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,680 A #18 (680-a-12u-boys); 680 Red #44 (680-red); 680 White #50 (680-white),680 A #18 depth=1; 680 Red #44 depth=1; 680 White #50 depth=1,,,,assets/logos/canonical/680.webp,team.html?team=680-blue,club.html?club=680,,,,
12U Boys,73,La Jolla United Navy,la-jolla-united-navy,La Jolla United,la-jolla-united,San Diego,1,primary/A-level,1522.1,0,12,KAP7 International,0-4,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,La Jolla United #16 (la-jolla-united); La Jolla United Gold #75 (la-jolla-united-gold); La Jolla United B #83 (la-jolla-united-b-12u-boys),La Jolla United #16 depth=1; La Jolla United Gold #75 depth=1; La Jolla United B #83 depth=2,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-navy,club.html?club=la-jolla-united,,,,
12U Boys,74,Foothill Black,foothill-black,Foothill Club,foothill-club,Orange County,1,primary/A-level,1520.0,0,5,CCA JO Qualifier,1-4,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Foothill Red #31 (foothill-red),Foothill Red #31 depth=1,,,,assets/logos/canonical/foothill-club.webp,team.html?team=foothill-black,club.html?club=foothill-club,,,,
12U Boys,75,La Jolla United Gold,la-jolla-united-gold,La Jolla United,la-jolla-united,San Diego,1,primary/A-level,1516.0,0,8,KAP7 International,2-2,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,La Jolla United #16 (la-jolla-united); La Jolla United Navy #73 (la-jolla-united-navy); La Jolla United B #83 (la-jolla-united-b-12u-boys),La Jolla United #16 depth=1; La Jolla United Navy #73 depth=1; La Jolla United B #83 depth=2,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-gold,club.html?club=la-jolla-united,,,,
12U Boys,76,CIU Gold,ciu-gold,CIU,ciu,Central Coast,1,primary/A-level,1506.7,0,6,CCA JO Qualifier,1-5,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,CIU Black #65 (ciu-black),CIU Black #65 depth=1,,,,assets/logos/canonical/ciu.webp,team.html?team=ciu-gold,club.html?club=ciu,,,,
12U Boys,77,Pride,pride,Pride,pride,Inland Empire,1,primary/A-level,1497.5,0,8,Futures Super Finals,1-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/pride.webp,team.html?team=pride,club.html?club=pride,,,,
12U Boys,78,ORWP Red,orwp-red,ORWP,orwp,Los Angeles,1,primary/A-level,1494.9,0,5,CCA JO Qualifier,1-4,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,ORWP A #21 (orwp-a-12u-boys),ORWP A #21 depth=1,,,,assets/logos/canonical/orwp.webp,team.html?team=orwp-red,club.html?club=orwp,,,,
12U Boys,79,Poway Valley,poway-valley,Poway Valley,poway-valley,San Diego,1,primary/A-level,1493.0,0,8,KAP7 International,2-2,coed_only_review,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/poway-valley.webp,team.html?team=poway-valley,club.html?club=poway-valley,,,,
12U Boys,80,CHAWP,chawp,Chawp,chawp,Inland Empire,1,primary/A-level,1485.8,0,7,SOPAC JO Qualifier,1-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/chawp.webp,team.html?team=chawp,club.html?club=chawp,,,,
12U Boys,81,La City United,la-city-united,La City United,la-city-united,Los Angeles,1,primary/A-level,1485.4,0,5,KAP7 International,3-2,coed_only_review,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/la-city-united.webp,team.html?team=la-city-united,club.html?club=la-city-united,,,,
12U Boys,82,North Irvine White,north-irvine-white,North Irvine,north-irvine,Orange County,1,primary/A-level,1474.2,0,5,SOPAC JO Qualifier,0-1,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group|team_name_suggests_b_but_depth_primary,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,North Irvine Black #7 (north-irvine-black),North Irvine Black #7 depth=1,,,,assets/logos/canonical/north-irvine.webp,team.html?team=north-irvine-white,club.html?club=north-irvine,,,,
12U Boys,83,La Jolla United B,la-jolla-united-b-12u-boys,La Jolla United,la-jolla-united,San Diego,2,secondary/B-level,1472.7,0,6,San Diego County Cup,4-2,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,La Jolla United #16 (la-jolla-united); La Jolla United Navy #73 (la-jolla-united-navy); La Jolla United Gold #75 (la-jolla-united-gold),La Jolla United #16 depth=1; La Jolla United Navy #73 depth=1; La Jolla United Gold #75 depth=1,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-b-12u-boys,club.html?club=la-jolla-united,,,,
12U Boys,84,CDM White,cdm-white,CDM,cdm,Orange County,1,primary/A-level,1472.6,0,13,SOPAC JO Qualifier,1-4,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group|team_name_suggests_b_but_depth_primary,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,CDM #10 (cdm),CDM #10 depth=1,,,,assets/logos/canonical/cdm.webp,team.html?team=cdm-white,club.html?club=cdm,,,,
12U Boys,85,NGen,ngen,Ngen,ngen,Orange County,1,primary/A-level,1460.9,0,9,San Diego County Cup,1-4,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/ngen.webp,team.html?team=ngen,club.html?club=ngen,,,,
12U Girls,1,Newport Beach A,newport-beach-a-12u-girls,Newport Beach,newport-beach,Orange County,1,primary/A-level,2150.0,0,20,US Club Championships,5-0,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Newport Beach White #23 (newport-beach-white-12u-girls),Newport Beach White #23 depth=2,,,,assets/logos/canonical/newport-beach.webp,team.html?team=newport-beach-a-12u-girls,club.html?club=newport-beach,,,,
12U Girls,2,Del Mar Blue,del-mar-blue-12u-girls,Del Mar,del-mar,San Diego,1,primary/A-level,2016.2,0,20,US Club Championships,3-2,manual_review_12u_girls_coed_context_capped,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/del-mar.webp,team.html?team=del-mar-blue-12u-girls,club.html?club=del-mar,,,,
12U Girls,3,Lamorinda A,lamorinda-a-12u-girls,Lamorinda,lamorinda,East Bay,1,primary/A-level,1982.7,0,22,US Club Championships,5-1,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Lamorinda B #22 (lamorinda-b-12u-girls); Lamorinda C #34 (lamorinda-c-12u-girls),Lamorinda B #22 depth=2; Lamorinda C #34 depth=3,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-a-12u-girls,club.html?club=lamorinda,,,,
12U Girls,4,San Clemente Red,san-clemente-red-12u-girls,San Clemente,san-clemente,Orange County,1,primary/A-level,1929.7,0,23,Futures Super Finals,2-1,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,San Clemente Black #38 (san-clemente-black-12u-girls),San Clemente Black #38 depth=2,,,,assets/logos/canonical/san-clemente.webp,team.html?team=san-clemente-red-12u-girls,club.html?club=san-clemente,,,,
12U Girls,5,Back Bay Navy,back-bay-navy-12u-girls,Back Bay,back-bay,Orange County,1,primary/A-level,1929.6,0,21,Futures Super Finals,2-1,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Back Bay Black #27 (back-bay-black-12u-girls),Back Bay Black #27 depth=2,,,,assets/logos/canonical/back-bay.webp,team.html?team=back-bay-navy-12u-girls,club.html?club=back-bay,,,,
12U Girls,6,680 Red,680-red-12u-girls,680,680,East Bay,1,primary/A-level,1904.0,0,13,Pacific Zone JO Quals,4-1,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/680.webp,team.html?team=680-red-12u-girls,club.html?club=680,,,,
12U Girls,7,Commerce,commerce-12u-girls,Commerce,commerce,Los Angeles,1,primary/A-level,1881.5,0,18,US Club Championships,3-2,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/commerce.webp,team.html?team=commerce-12u-girls,club.html?club=commerce,,,,
12U Girls,8,Stanford A,stanford-a-12u-girls,Stanford,stanford,Peninsula / San Francisco,1,primary/A-level,1833.1,0,19,US Club Championships,2-3,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Stanford B #35 (stanford-b-12u-girls),Stanford B #35 depth=2,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-a-12u-girls,club.html?club=stanford,,,,
12U Girls,9,LA Premier,la-premier-12u-girls,LA Premier,la-premier,Los Angeles,1,primary/A-level,1815.8,0,13,Futures Super Finals,3-2,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/la-premier.webp,team.html?team=la-premier-12u-girls,club.html?club=la-premier,,,,
12U Girls,10,San Diego Shores,san-diego-shores-12u-girls,San Diego Shores,san-diego-shores,San Diego,1,primary/A-level,1798.2,0,15,US Club Championships,3-2,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/san-diego-shores.webp,team.html?team=san-diego-shores-12u-girls,club.html?club=san-diego-shores,,,,
12U Girls,11,Shore Aquatics,shore-aquatics-12u-girls,Shore Aquatics,shore-aquatics,Los Angeles,1,primary/A-level,1790.5,0,17,CCA JO Quals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/shore-aquatics.webp,team.html?team=shore-aquatics-12u-girls,club.html?club=shore-aquatics,,,,
12U Girls,12,Temple City,temple-city-12u-girls,Temple City,temple-city,Los Angeles,1,primary/A-level,1766.5,0,13,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/temple-city.webp,team.html?team=temple-city-12u-girls,club.html?club=temple-city,,,,
